INFO:root:Epoch 225: Train Loss = 0.057706186175346376, Test Loss = 0.24008046090602875, Time = 0.20s
INFO:root:Epoch 226: Train Loss = 0.06064881291240454, Test Loss = 0.24008048325777054, Time = 0.20s
INFO:root:Epoch 227: Train Loss = 0.059401414915919305, Test Loss = 0.2400801032781601, Time = 0.20s
INFO:root:Epoch 228: Train Loss = 0.059431451559066775, Test Loss = 0.24008099734783173, Time = 0.20s
INFO:root:Epoch 229: Train Loss = 0.060235068574547766, Test Loss = 0.24008257687091827, Time = 0.20s
INFO:root:Epoch 230: Train Loss = 0.061867892369627954, Test Loss = 0.24008317291736603, Time = 0.20s
INFO:root:Epoch 231: Train Loss = 0.0581643745303154, Test Loss = 0.2400815784931183, Time = 0.20s
INFO:root:Epoch 232: Train Loss = 0.05868841595947742, Test Loss = 0.24007821828126907, Time = 0.20s
INFO:root:Epoch 233: Train Loss = 0.05866691321134567, Test Loss = 0.2400742471218109, Time = 0.20s
INFO:root:Epoch 234: Train Loss = 0.057957914844155314, Test Loss = 0.24007417261600494, Time = 0.20s
INFO:root:Epoch 235: Train Loss = 0.059604108333587646, Test Loss = 0.24007346481084824, Time = 0.20s
INFO:root:Epoch 236: Train Loss = 0.05835519917309284, Test Loss = 0.24007336050271988, Time = 0.20s
INFO:root:Epoch 237: Train Loss = 0.058600923791527745, Test Loss = 0.24007195979356766, Time = 0.20s
INFO:root:Epoch 238: Train Loss = 0.05862353798002005, Test Loss = 0.24006875604391098, Time = 0.20s
INFO:root:Epoch 239: Train Loss = 0.06115141287446022, Test Loss = 0.240066796541214, Time = 0.20s
INFO:root:Epoch 240: Train Loss = 0.057582410797476766, Test Loss = 0.2400653436779976, Time = 0.20s
INFO:root:Epoch 241: Train Loss = 0.05822322890162468, Test Loss = 0.24006584286689758, Time = 0.20s
INFO:root:Epoch 242: Train Loss = 0.05877558775246143, Test Loss = 0.2400665357708931, Time = 0.20s
INFO:root:Epoch 243: Train Loss = 0.058919401839375496, Test Loss = 0.24006622284650803, Time = 0.20s
INFO:root:Epoch 244: Train Loss = 0.05900890734046697, Test Loss = 0.24006447941064835, Time = 0.20s
INFO:root:Epoch 245: Train Loss = 0.05926850326359272, Test Loss = 0.2400616928935051, Time = 0.20s
INFO:root:Epoch 246: Train Loss = 0.060064228251576424, Test Loss = 0.24005918204784393, Time = 0.20s
INFO:root:Epoch 247: Train Loss = 0.056663238629698756, Test Loss = 0.2400558814406395, Time = 0.20s
INFO:root:Epoch 248: Train Loss = 0.060612845420837405, Test Loss = 0.24005531519651413, Time = 0.20s
